LINE_ITEM_NAME,Actual_eCPM
PWT_5b1931092505d_333.782,-
PWT_5b192ebe59b43_112.492,-
PWT_5b192ebe59b43_119.879,-
PWT_5b192ebe59b43_129.282,-
PWT_5b192ebe59b43_110.477,-
PWT_5b192ebe59b43_125.924,-
PWT_5b192ebe59b43_138.012,-
PWT_5b192ebe59b43_142.714,-
PWT_5b19295399fe7_371.501,-
PWT_5b19295399fe7_425.196,-
PWT_5b19295399fe7_448.687,-
PWT_5b19295399fe7_512.45,-
PWT_5b19295399fe7_438.619,-
PWT_5b19295399fe7_532.585,-
PWT_5b192bb1e9219_1198.794,-
PWT_5b192bb1e9219_1057.759,-
PWT_5b19307a78e7e_193.419,-
PWT_5b19307a78e7e_224.312,-
PWT_5b19307a78e7e_259.235,-
PWT_5b19307a78e7e_194.762,-
PWT_5b19307a78e7e_206.851,-
PWT_5b1931092505d_278.711,-
PWT_5b192ebe59b43_109.134,-
PWT_5b192ebe59b43_114.507,-
PWT_5b192ebe59b43_144.057,-
PWT_5b192ebe59b43_152.787,-
PWT_5b192ebe59b43_156.145,-
PWT_5b1931092505d_317.663,-
PWT_5b19295399fe7_458.755,-
PWT_5b19295399fe7_609.772,-
PWT_5b192a8c96669_656.755,-
PWT_5b19295399fe7_492.314,-
PWT_5b19295399fe7_596.348,-
PWT_5b192a8c96669_707.093,-
PWT_5b192a8c96669_794.347,-
PWT_5b192a8c96669_814.483,-
PWT_5b192a8c96669_871.534,-
PWT_5b19307a78e7e_198.792,-
PWT_5b19307a78e7e_216.253,-
PWT_5b19307a78e7e_202.821,-
PWT_5b19307a78e7e_225.655,-
PWT_5b19307a78e7e_252.519,-
PWT_5b19307a78e7e_268.301,-
PWT_5b192ebe59b43_118.536,-
PWT_5b192ebe59b43_134.654,-
PWT_5b19295399fe7_488.958,-
PWT_5b19295399fe7_441.975,-
PWT_5b19295399fe7_633.263,-
PWT_5b192a8c96669_744.009,-
PWT_5b192a8c96669_834.619,-
PWT_5b19307a78e7e_209.537,-
PWT_5b19307a78e7e_220.283,-
PWT_5b192ebe59b43_115.178,-
PWT_5b1931092505d_296.173,-
PWT_5b19295399fe7_542.653,-
PWT_5b192a8c96669_683.602,-
PWT_5b19307a78e7e_243.117,-
PWT_5b1931092505d_281.397,-
PWT_5b1931092505d_277.368,-
PWT_5b1931092505d_337.811,-
PWT_5b19295399fe7_546.009,-
PWT_5b1931092505d_319.007,-
PWT_5b1931092505d_327.066,-
PWT_5b192ebe59b43_151.444,-
PWT_5b19295399fe7_391.636,-
PWT_5b19295399fe7_408.416,-
PWT_5b19295399fe7_431.908,-
PWT_5b19307a78e7e_226.998,-
PWT_5b19307a78e7e_186.703,-
PWT_5b1931092505d_288.113,-
PWT_5b1931092505d_305.575,-
PWT_5b1931092505d_356.616,-
PWT_5b19307a78e7e_251.176,-
PWT_5b1931092505d_293.486,-
PWT_5b1931092505d_331.095,-
PWT_5b192bb1e9219_1124.918,-
PWT_5b19307a78e7e_267.294,-
PWT_5b19307a78e7e_204.164,-
PWT_5b1931092505d_286.77,-
PWT_5b1931092505d_298.859,-
PWT_5b19295399fe7_562.789,-
PWT_5b192bb1e9219_1151.782,-
PWT_5b19295399fe7_515.806,-
PWT_5b19295399fe7_566.145,-
PWT_5b19307a78e7e_265.951,-
PWT_5b1931092505d_294.829,-
PWT_5b1931092505d_336.468,-
PWT_5b192ebe59b43_147.415,-
PWT_5b19295399fe7_519.162,-
PWT_5b19295399fe7_616.483,-
PWT_5b192a8c96669_790.992,-
PWT_5b192bb1e9219_1064.475,-
PWT_5b19307a78e7e_261.921,-
PWT_5b19307a78e7e_214.91,-
